state,county,candidate,Party,votes
Idaho,Twin Falls County,Paulette Jordan,D,9776
Idaho,Valley County,Paulette Jordan,D,2984
Idaho,Washington County,Paulette Jordan,D,1147
Illinois,Adams County,Dick Durbin,D,8835
Illinois,Alexander County,Dick Durbin,D,1218
Illinois,Bond County,Dick Durbin,D,2714
Illinois,Boone County,Dick Durbin,D,10090
Illinois,Brown County,Dick Durbin,D,635
Illinois,Bureau County,Dick Durbin,D,7079
Illinois,Calhoun County,Dick Durbin,D,930
Illinois,Carroll County,Dick Durbin,D,2835
Illinois,Cass County,Dick Durbin,D,1862
Illinois,Champaign County,Mark Curran,R,35276
Illinois,Christian County,Dick Durbin,D,4874
Illinois,Clark County,Dick Durbin,D,2082
Illinois,Clay County,Dick Durbin,D,1295
Illinois,Clinton County,Dick Durbin,D,5329
Illinois,Coles County,Dick Durbin,D,8138
Illinois,Cook County,Mark Curran,R,499034
Illinois,Crawford County,Dick Durbin,D,2384
Illinois,Cumberland County,Dick Durbin,D,1357
Illinois,DeKalb County,Mark Curran,R,21198
Illinois,De Witt County,Dick Durbin,D,2451
Illinois,Douglas County,Dick Durbin,D,2494
Illinois,DuPage County,Mark Curran,R,196759
Illinois,Edgar County,Dick Durbin,D,2247
Illinois,Edwards County,Dick Durbin,D,556
Illinois,Effingham County,Dick Durbin,D,4128
Illinois,Fayette County,Dick Durbin,D,2113
Illinois,Ford County,Dick Durbin,D,1765
Illinois,Franklin County,Dick Durbin,D,5810
Illinois,Fulton County,Dick Durbin,D,7109
Illinois,Gallatin County,Dick Durbin,D,829
Illinois,Greene County,Dick Durbin,D,1702
Illinois,Grundy County,Dick Durbin,D,9766
Illinois,Hamilton County,Dick Durbin,D,1112
Illinois,Hancock County,Dick Durbin,D,2516
Illinois,Hardin County,Dick Durbin,D,591
Illinois,Henderson County,Dick Durbin,D,1299
Illinois,Henry County,Dick Durbin,D,10004
Illinois,Iroquois County,Dick Durbin,D,3075
Illinois,Jackson County,Mark Curran,R,10291
Illinois,Jasper County,Dick Durbin,D,1180
Illinois,Jefferson County,Dick Durbin,D,5099
Illinois,Jersey County,Dick Durbin,D,3478
Illinois,Jo Daviess County,Dick Durbin,D,5061
Illinois,Johnson County,Dick Durbin,D,1559
Illinois,Kane County,Mark Curran,R,96270
Illinois,Kankakee County,Dick Durbin,D,19754
Illinois,Kendall County,Mark Curran,R,28790
Illinois,Knox County,Dick Durbin,D,10820
Illinois,Lake County,Mark Curran,R,131344
Illinois,LaSalle County,Dick Durbin,D,22851
Illinois,Lawrence County,Dick Durbin,D,1571
Illinois,Lee County,Dick Durbin,D,6446
Illinois,Livingston County,Dick Durbin,D,4969
Illinois,Logan County,Dick Durbin,D,4366
Illinois,McDonough County,Dick Durbin,D,5090
Illinois,McHenry County,Dick Durbin,D,73803
Illinois,McLean County,Mark Curran,R,41007
Illinois,Macon County,Dick Durbin,D,20127
Illinois,Macoupin County,Dick Durbin,D,8334
Illinois,Madison County,Dick Durbin,D,59178
Illinois,Marion County,Dick Durbin,D,5122
Illinois,Marshall County,Dick Durbin,D,2027
Illinois,Mason County,Dick Durbin,D,2387
Illinois,Massac County,Dick Durbin,D,1857
Illinois,Menard County,Dick Durbin,D,2095
Illinois,Mercer County,Dick Durbin,D,3420
Illinois,Monroe County,Dick Durbin,D,6717
Illinois,Montgomery County,Dick Durbin,D,4293
Illinois,Morgan County,Dick Durbin,D,5548
Illinois,Moultrie County,Dick Durbin,D,1816
Illinois,Ogle County,Dick Durbin,D,9492
Illinois,Peoria County,Mark Curran,R,37345
Illinois,Perry County,Dick Durbin,D,3268
Illinois,Piatt County,Dick Durbin,D,3407
Illinois,Pike County,Dick Durbin,D,1837
Illinois,Pope County,Dick Durbin,D,520
Illinois,Pulaski County,Dick Durbin,D,1066
Illinois,Putnam County,Dick Durbin,D,1459
Illinois,Randolph County,Dick Durbin,D,4645
Illinois,Richland County,Dick Durbin,D,1932
Illinois,Rock Island County,Mark Curran,R,27705
Illinois,St. Clair County,Mark Curran,R,55898
Illinois,Saline County,Dick Durbin,D,3246
Illinois,Sangamon County,Dick Durbin,D,48733
Illinois,Schuyler County,Dick Durbin,D,1283
Illinois,Scott County,Dick Durbin,D,705
Illinois,Shelby County,Dick Durbin,D,2921
Illinois,Stark County,Dick Durbin,D,843
Illinois,Stephenson County,Dick Durbin,D,9043
Illinois,Tazewell County,Dick Durbin,D,25380
Illinois,Union County,Dick Durbin,D,3102
Illinois,Vermilion County,Dick Durbin,D,11375
