state,county,candidate,Party,votes,won
Georgia,Floyd County,Donald Trump,R,28906,True
Georgia,Floyd County,Joe Biden,D,11917,False
Georgia,Forsyth County,Donald Trump,R,85123,True
Georgia,Forsyth County,Joe Biden,D,42208,False
Georgia,Franklin County,Donald Trump,R,9069,True
Georgia,Franklin County,Joe Biden,D,1593,False
Georgia,Fulton County,Joe Biden,D,380212,True
Georgia,Fulton County,Donald Trump,R,137247,False
Georgia,Gilmer County,Donald Trump,R,13429,True
Georgia,Gilmer County,Joe Biden,D,2932,False
Georgia,Glascock County,Donald Trump,R,1402,True
Georgia,Glascock County,Joe Biden,D,155,False
Georgia,Glynn County,Donald Trump,R,25617,True
Georgia,Glynn County,Joe Biden,D,15882,False
Georgia,Gordon County,Donald Trump,R,19405,True
Georgia,Gordon County,Joe Biden,D,4384,False
Georgia,Grady County,Donald Trump,R,7034,True
Georgia,Grady County,Joe Biden,D,3619,False
Georgia,Greene County,Donald Trump,R,7066,True
Georgia,Greene County,Joe Biden,D,4087,False
Georgia,Gwinnett County,Joe Biden,D,241994,True
Georgia,Gwinnett County,Donald Trump,R,166400,False
Georgia,Habersham County,Donald Trump,R,16637,True
Georgia,Habersham County,Joe Biden,D,3562,False
Georgia,Hall County,Donald Trump,R,64183,True
Georgia,Hall County,Joe Biden,D,25033,False
Georgia,Hancock County,Joe Biden,D,2976,True
Georgia,Hancock County,Donald Trump,R,1154,False
Georgia,Haralson County,Donald Trump,R,12330,True
Georgia,Haralson County,Joe Biden,D,1791,False
Georgia,Harris County,Donald Trump,R,14319,True
Georgia,Harris County,Joe Biden,D,5457,False
Georgia,Hart County,Donald Trump,R,9465,True
Georgia,Hart County,Joe Biden,D,3157,False
Georgia,Heard County,Donald Trump,R,4519,True
Georgia,Heard County,Joe Biden,D,824,False
Georgia,Henry County,Joe Biden,D,73443,True
Georgia,Henry County,Donald Trump,R,48259,False
Georgia,Houston County,Donald Trump,R,41540,True
Georgia,Houston County,Joe Biden,D,32239,False
Georgia,Irwin County,Donald Trump,R,3134,True
Georgia,Irwin County,Joe Biden,D,1008,False
Georgia,Jackson County,Donald Trump,R,29502,True
Georgia,Jackson County,Joe Biden,D,7642,False
Georgia,Jasper County,Donald Trump,R,5822,True
Georgia,Jasper County,Joe Biden,D,1761,False
Georgia,Jeff Davis County,Donald Trump,R,4695,True
Georgia,Jeff Davis County,Joe Biden,D,1028,False
Georgia,Jefferson County,Joe Biden,D,4058,True
Georgia,Jefferson County,Donald Trump,R,3537,False
Georgia,Jenkins County,Donald Trump,R,2161,True
Georgia,Jenkins County,Joe Biden,D,1266,False
Georgia,Johnson County,Donald Trump,R,2850,True
Georgia,Johnson County,Joe Biden,D,1222,False
Georgia,Jones County,Donald Trump,R,9940,True
Georgia,Jones County,Joe Biden,D,4882,False
Georgia,Lamar County,Donald Trump,R,6331,True
Georgia,Lamar County,Joe Biden,D,2620,False
Georgia,Lanier County,Donald Trump,R,2509,True
Georgia,Lanier County,Joe Biden,D,1019,False
Georgia,Laurens County,Donald Trump,R,14493,True
Georgia,Laurens County,Joe Biden,D,8074,False
Georgia,Lee County,Donald Trump,R,12007,True
Georgia,Lee County,Joe Biden,D,4558,False
Georgia,Liberty County,Joe Biden,D,13104,True
Georgia,Liberty County,Donald Trump,R,7959,False
Georgia,Lincoln County,Donald Trump,R,3173,True
Georgia,Lincoln County,Joe Biden,D,1432,False
Georgia,Long County,Donald Trump,R,3527,True
Georgia,Long County,Joe Biden,D,2035,False
Georgia,Lowndes County,Donald Trump,R,25692,True
Georgia,Lowndes County,Joe Biden,D,20116,False
Georgia,Lumpkin County,Donald Trump,R,12163,True
Georgia,Lumpkin County,Joe Biden,D,3126,False
Georgia,McDuffie County,Donald Trump,R,6169,True
Georgia,McDuffie County,Joe Biden,D,4168,False
Georgia,McIntosh County,Donald Trump,R,4016,True
Georgia,McIntosh County,Joe Biden,D,2612,False
Georgia,Macon County,Joe Biden,D,2858,True
Georgia,Macon County,Donald Trump,R,1783,False
Georgia,Madison County,Donald Trump,R,11326,True
Georgia,Madison County,Joe Biden,D,3411,False
Georgia,Marion County,Donald Trump,R,2275,True
Georgia,Marion County,Joe Biden,D,1312,False
Georgia,Meriwether County,Donald Trump,R,6524,True
Georgia,Meriwether County,Joe Biden,D,4287,False
Georgia,Miller County,Donald Trump,R,2066,True
Georgia,Miller County,Joe Biden,D,748,False
Georgia,Mitchell County,Donald Trump,R,4935,True
Georgia,Mitchell County,Joe Biden,D,3993,False
Georgia,Monroe County,Donald Trump,R,11057,True
Georgia,Monroe County,Joe Biden,D,4385,False
Georgia,Montgomery County,Donald Trump,R,2960,True
Georgia,Montgomery County,Joe Biden,D,980,False
Georgia,Morgan County,Donald Trump,R,8231,True
Georgia,Morgan County,Joe Biden,D,3353,False
Georgia,Murray County,Donald Trump,R,12944,True
Georgia,Murray County,Joe Biden,D,2301,False
Georgia,Muscogee County,Joe Biden,D,49446,True
Georgia,Muscogee County,Donald Trump,R,30107,False
Georgia,Newton County,Joe Biden,D,29789,True
Georgia,Newton County,Donald Trump,R,23869,False
Georgia,Oconee County,Donald Trump,R,16595,True
Georgia,Oconee County,Joe Biden,D,8162,False
Georgia,Oglethorpe County,Donald Trump,R,5592,True
Georgia,Oglethorpe County,Joe Biden,D,2439,False
Georgia,Paulding County,Donald Trump,R,54517,True
Georgia,Paulding County,Joe Biden,D,29695,False
Georgia,Peach County,Donald Trump,R,6506,True
Georgia,Peach County,Joe Biden,D,5922,False
Georgia,Pickens County,Donald Trump,R,14110,True
Georgia,Pickens County,Joe Biden,D,2824,False
Georgia,Pierce County,Donald Trump,R,7898,True
Georgia,Pierce County,Joe Biden,D,1100,False
Georgia,Pike County,Donald Trump,R,9127,True
Georgia,Pike County,Joe Biden,D,1505,False
Georgia,Polk County,Donald Trump,R,13587,True
Georgia,Polk County,Joe Biden,D,3657,False
Georgia,Pulaski County,Donald Trump,R,2815,True
Georgia,Pulaski County,Joe Biden,D,1230,False
Georgia,Putnam County,Donald Trump,R,8291,True
Georgia,Putnam County,Joe Biden,D,3448,False
Georgia,Quitman County,Donald Trump,R,604,True
Georgia,Quitman County,Joe Biden,D,497,False
Georgia,Rabun County,Donald Trump,R,7474,True
Georgia,Rabun County,Joe Biden,D,1984,False
Georgia,Randolph County,Joe Biden,D,1671,True
Georgia,Randolph County,Donald Trump,R,1390,False
Georgia,Richmond County,Joe Biden,D,59119,True
Georgia,Richmond County,Donald Trump,R,26780,False
Georgia,Rockdale County,Joe Biden,D,31237,True
Georgia,Rockdale County,Donald Trump,R,13014,False
Georgia,Schley County,Donald Trump,R,1800,True
Georgia,Schley County,Joe Biden,D,462,False
Georgia,Screven County,Donald Trump,R,3915,True
Georgia,Screven County,Joe Biden,D,2661,False
Georgia,Seminole County,Donald Trump,R,2613,True
Georgia,Seminole County,Joe Biden,D,1256,False
Georgia,Spalding County,Donald Trump,R,18104,True
Georgia,Spalding County,Joe Biden,D,11828,False
Georgia,Stephens County,Donald Trump,R,9367,True
Georgia,Stephens County,Joe Biden,D,2386,False
Georgia,Stewart County,Joe Biden,D,1182,True
Georgia,Stewart County,Donald Trump,R,801,False
Georgia,Sumter County,Joe Biden,D,6314,True
Georgia,Sumter County,Donald Trump,R,5733,False
Georgia,Talbot County,Joe Biden,D,2114,True
Georgia,Talbot County,Donald Trump,R,1392,False
Georgia,Taliaferro County,Joe Biden,D,561,True
Georgia,Taliaferro County,Donald Trump,R,360,False
Georgia,Tattnall County,Donald Trump,R,6054,True
Georgia,Tattnall County,Joe Biden,D,2062,False
Georgia,Taylor County,Donald Trump,R,2420,True
Georgia,Taylor County,Joe Biden,D,1388,False
Georgia,Telfair County,Donald Trump,R,2825,True
Georgia,Telfair County,Joe Biden,D,1488,False
Georgia,Terrell County,Joe Biden,D,2376,True
Georgia,Terrell County,Donald Trump,R,2004,False
Georgia,Thomas County,Donald Trump,R,12969,True
Georgia,Thomas County,Joe Biden,D,8708,False
Georgia,Tift County,Donald Trump,R,10784,True
Georgia,Tift County,Joe Biden,D,5318,False
Georgia,Toombs County,Donald Trump,R,7873,True
Georgia,Toombs County,Joe Biden,D,2938,False
Georgia,Towns County,Donald Trump,R,6384,True
Georgia,Towns County,Joe Biden,D,1550,False
Georgia,Treutlen County,Donald Trump,R,2101,True
Georgia,Treutlen County,Joe Biden,D,952,False
Georgia,Troup County,Donald Trump,R,18142,True
Georgia,Troup County,Joe Biden,D,11577,False
Georgia,Turner County,Donald Trump,R,2349,True
Georgia,Turner County,Joe Biden,D,1409,False
Georgia,Twiggs County,Donald Trump,R,2370,True
Georgia,Twiggs County,Joe Biden,D,2044,False
Georgia,Union County,Donald Trump,R,12650,True
Georgia,Union County,Joe Biden,D,2800,False
Georgia,Upson County,Donald Trump,R,8606,True
Georgia,Upson County,Joe Biden,D,4203,False
Georgia,Walker County,Donald Trump,R,23173,True
Georgia,Walker County,Joe Biden,D,5770,False
Georgia,Walton County,Donald Trump,R,37839,True
Georgia,Walton County,Joe Biden,D,12683,False
Georgia,Ware County,Donald Trump,R,9903,True
Georgia,Ware County,Joe Biden,D,4169,False
Georgia,Warren County,Joe Biden,D,1468,True
Georgia,Warren County,Donald Trump,R,1166,False
Georgia,Washington County,Joe Biden,D,4743,True
Georgia,Washington County,Donald Trump,R,4668,False
Georgia,Wayne County,Donald Trump,R,9987,True
Georgia,Wayne County,Joe Biden,D,2688,False
Georgia,Webster County,Donald Trump,R,748,True
Georgia,Webster County,Joe Biden,D,640,False
Georgia,Wheeler County,Donald Trump,R,1583,True
Georgia,Wheeler County,Joe Biden,D,689,False
Georgia,White County,Donald Trump,R,12222,True
Georgia,White County,Joe Biden,D,2411,False
Georgia,Whitfield County,Donald Trump,R,25644,True
Georgia,Whitfield County,Joe Biden,D,10680,False
Georgia,Wilcox County,Donald Trump,R,2402,True
Georgia,Wilcox County,Joe Biden,D,861,False
Georgia,Wilkes County,Donald Trump,R,2823,True
Georgia,Wilkes County,Joe Biden,D,2160,False
Georgia,Wilkinson County,Donald Trump,R,2665,True
Georgia,Wilkinson County,Joe Biden,D,2074,False
Georgia,Worth County,Donald Trump,R,6830,True
Georgia,Worth County,Joe Biden,D,2395,False
Hawaii,Hawaii County,Joe Biden,D,58731,True
Hawaii,Hawaii County,Donald Trump,R,26897,False
Hawaii,Honolulu County,Joe Biden,D,238869,True
Hawaii,Honolulu County,Donald Trump,R,136259,False
Hawaii,Kauai County,Joe Biden,D,21225,True
Hawaii,Kauai County,Donald Trump,R,11582,False
Hawaii,Maui County,Joe Biden,D,47305,True
Hawaii,Maui County,Donald Trump,R,22126,False
Idaho,Ada County,Donald Trump,R,130699,True
Idaho,Ada County,Joe Biden,D,120539,False
Idaho,Adams County,Donald Trump,R,1941,True
Idaho,Adams County,Joe Biden,D,591,False
Idaho,Bannock County,Donald Trump,R,23331,True
Idaho,Bannock County,Joe Biden,D,14682,False
Idaho,Bear Lake County,Donald Trump,R,2914,True
Idaho,Bear Lake County,Joe Biden,D,350,False
Idaho,Benewah County,Donald Trump,R,3878,True
Idaho,Benewah County,Joe Biden,D,977,False
Idaho,Bingham County,Donald Trump,R,15295,True
Idaho,Bingham County,Joe Biden,D,4124,False
Idaho,Blaine County,Joe Biden,D,8919,True
Idaho,Blaine County,Donald Trump,R,4032,False
Idaho,Boise County,Donald Trump,R,3485,True
Idaho,Boise County,Joe Biden,D,1204,False
