state,county,candidate,Party,votes,won
Indiana,Warrick County,Eric Holcomb,R,22703,True
Indiana,Warrick County,Woody Myers,D,9074,False
Indiana,Washington County,Eric Holcomb,R,7919,True
Indiana,Washington County,Woody Myers,D,2408,False
Indiana,Wayne County,Eric Holcomb,R,16914,True
Indiana,Wayne County,Woody Myers,D,7534,False
Indiana,Wells County,Eric Holcomb,R,9371,True
Indiana,Wells County,Woody Myers,D,1967,False
Indiana,White County,Eric Holcomb,R,7334,True
Indiana,White County,Woody Myers,D,1978,False
Indiana,Whitley County,Eric Holcomb,R,11522,True
Indiana,Whitley County,Woody Myers,D,2738,False
Missouri,Adair County,Mike Parson,R,6597,True
Missouri,Adair County,Nicole Galloway,D,3546,False
Missouri,Andrew County,Mike Parson,R,7195,True
Missouri,Andrew County,Nicole Galloway,D,2356,False
Missouri,Atchison County,Mike Parson,R,2171,True
Missouri,Atchison County,Nicole Galloway,D,533,False
Missouri,Audrain County,Mike Parson,R,7643,True
Missouri,Audrain County,Nicole Galloway,D,2663,False
Missouri,Barry County,Mike Parson,R,12356,True
Missouri,Barry County,Nicole Galloway,D,2841,False
Missouri,Barton County,Mike Parson,R,5114,True
Missouri,Barton County,Nicole Galloway,D,816,False
Missouri,Bates County,Mike Parson,R,6410,True
Missouri,Bates County,Nicole Galloway,D,1762,False
Missouri,Benton County,Mike Parson,R,8017,True
Missouri,Benton County,Nicole Galloway,D,2179,False
Missouri,Bollinger County,Mike Parson,R,5063,True
Missouri,Bollinger County,Nicole Galloway,D,773,False
Missouri,Boone County,Nicole Galloway,D,48056,True
Missouri,Boone County,Mike Parson,R,40478,False
Missouri,Buchanan County,Mike Parson,R,22147,True
Missouri,Buchanan County,Nicole Galloway,D,13225,False
Missouri,Butler County,Mike Parson,R,14337,True
Missouri,Butler County,Nicole Galloway,D,3349,False
Missouri,Caldwell County,Mike Parson,R,3603,True
Missouri,Caldwell County,Nicole Galloway,D,916,False
Missouri,Callaway County,Mike Parson,R,14950,True
Missouri,Callaway County,Nicole Galloway,D,5611,False
Missouri,Camden County,Mike Parson,R,18837,True
Missouri,Camden County,Nicole Galloway,D,5461,False
Missouri,Cape Girardeau County,Mike Parson,R,29127,True
Missouri,Cape Girardeau County,Nicole Galloway,D,10272,False
Missouri,Carroll County,Mike Parson,R,3671,True
Missouri,Carroll County,Nicole Galloway,D,770,False
Missouri,Carter County,Mike Parson,R,2412,True
Missouri,Carter County,Nicole Galloway,D,401,False
Missouri,Cass County,Mike Parson,R,37025,True
Missouri,Cass County,Nicole Galloway,D,18770,False
Missouri,Cedar County,Mike Parson,R,5771,True
Missouri,Cedar County,Nicole Galloway,D,1104,False
Missouri,Chariton County,Mike Parson,R,3100,True
Missouri,Chariton County,Nicole Galloway,D,910,False
Missouri,Christian County,Mike Parson,R,34827,True
Missouri,Christian County,Nicole Galloway,D,10863,False
Missouri,Clark County,Mike Parson,R,2667,True
Missouri,Clark County,Nicole Galloway,D,648,False
Missouri,Clay County,Mike Parson,R,64682,True
Missouri,Clay County,Nicole Galloway,D,58224,False
Missouri,Clinton County,Mike Parson,R,7518,True
Missouri,Clinton County,Nicole Galloway,D,3001,False
Missouri,Cole County,Mike Parson,R,26886,True
Missouri,Cole County,Nicole Galloway,D,11726,False
Missouri,Cooper County,Mike Parson,R,6224,True
Missouri,Cooper County,Nicole Galloway,D,2162,False
Missouri,Crawford County,Mike Parson,R,8480,True
Missouri,Crawford County,Nicole Galloway,D,2230,False
Missouri,Dade County,Mike Parson,R,3348,True
Missouri,Dade County,Nicole Galloway,D,668,False
Missouri,Dallas County,Mike Parson,R,6646,True
Missouri,Dallas County,Nicole Galloway,D,1294,False
Missouri,Daviess County,Mike Parson,R,2997,True
Missouri,Daviess County,Nicole Galloway,D,783,False
Missouri,DeKalb County,Mike Parson,R,3763,True
Missouri,DeKalb County,Nicole Galloway,D,930,False
Missouri,Dent County,Mike Parson,R,5768,True
Missouri,Dent County,Nicole Galloway,D,1141,False
Missouri,Douglas County,Mike Parson,R,5773,True
Missouri,Douglas County,Nicole Galloway,D,1046,False
Missouri,Dunklin County,Mike Parson,R,7880,True
Missouri,Dunklin County,Nicole Galloway,D,2281,False
Missouri,Franklin County,Mike Parson,R,37136,True
Missouri,Franklin County,Nicole Galloway,D,14957,False
Missouri,Gasconade County,Mike Parson,R,6192,True
Missouri,Gasconade County,Nicole Galloway,D,1537,False
Missouri,Gentry County,Mike Parson,R,2539,True
Missouri,Gentry County,Nicole Galloway,D,631,False
Missouri,Greene County,Mike Parson,R,84582,True
Missouri,Greene County,Nicole Galloway,D,53519,False
Missouri,Grundy County,Mike Parson,R,3537,True
Missouri,Grundy County,Nicole Galloway,D,821,False
Missouri,Harrison County,Mike Parson,R,3139,True
Missouri,Harrison County,Nicole Galloway,D,602,False
Missouri,Henry County,Mike Parson,R,7928,True
Missouri,Henry County,Nicole Galloway,D,2574,False
Missouri,Hickory County,Mike Parson,R,4037,True
Missouri,Hickory County,Nicole Galloway,D,929,False
Missouri,Holt County,Mike Parson,R,1928,True
Missouri,Holt County,Nicole Galloway,D,361,False
Missouri,Howard County,Mike Parson,R,3525,True
Missouri,Howard County,Nicole Galloway,D,1387,False
Missouri,Howell County,Mike Parson,R,14947,True
Missouri,Howell County,Nicole Galloway,D,3210,False
Missouri,Iron County,Mike Parson,R,3266,True
Missouri,Iron County,Nicole Galloway,D,1105,False
Missouri,Jackson County,Nicole Galloway,D,194273,True
Missouri,Jackson County,Mike Parson,R,128938,False
Missouri,Jasper County,Mike Parson,R,37714,True
Missouri,Jasper County,Nicole Galloway,D,13204,False
Missouri,Jefferson County,Mike Parson,R,73942,True
Missouri,Jefferson County,Nicole Galloway,D,38866,False
Missouri,Johnson County,Mike Parson,R,15321,True
Missouri,Johnson County,Nicole Galloway,D,6895,False
Missouri,Knox County,Mike Parson,R,1516,True
Missouri,Knox County,Nicole Galloway,D,294,False
Missouri,Laclede County,Mike Parson,R,13681,True
Missouri,Laclede County,Nicole Galloway,D,2747,False
Missouri,Lafayette County,Mike Parson,R,12238,True
Missouri,Lafayette County,Nicole Galloway,D,4451,False
Missouri,Lawrence County,Mike Parson,R,14176,True
Missouri,Lawrence County,Nicole Galloway,D,3185,False
Missouri,Lewis County,Mike Parson,R,3638,True
Missouri,Lewis County,Nicole Galloway,D,880,False
Missouri,Lincoln County,Mike Parson,R,21014,True
Missouri,Lincoln County,Nicole Galloway,D,7116,False
Missouri,Linn County,Mike Parson,R,4275,True
Missouri,Linn County,Nicole Galloway,D,1308,False
Missouri,Livingston County,Mike Parson,R,5258,True
Missouri,Livingston County,Nicole Galloway,D,1332,False
Missouri,McDonald County,Mike Parson,R,7325,True
Missouri,McDonald County,Nicole Galloway,D,1438,False
Missouri,Macon County,Mike Parson,R,6096,True
Missouri,Macon County,Nicole Galloway,D,1575,False
Missouri,Madison County,Mike Parson,R,4362,True
Missouri,Madison County,Nicole Galloway,D,1126,False
Missouri,Maries County,Mike Parson,R,3875,True
Missouri,Maries County,Nicole Galloway,D,815,False
Missouri,Marion County,Mike Parson,R,10082,True
Missouri,Marion County,Nicole Galloway,D,3015,False
Missouri,Mercer County,Mike Parson,R,1533,True
Missouri,Mercer County,Nicole Galloway,D,204,False
Missouri,Miller County,Mike Parson,R,10213,True
Missouri,Miller County,Nicole Galloway,D,1888,False
Missouri,Mississippi County,Mike Parson,R,3521,True
Missouri,Mississippi County,Nicole Galloway,D,1106,False
Missouri,Moniteau County,Mike Parson,R,5784,True
Missouri,Moniteau County,Nicole Galloway,D,1237,False
Missouri,Monroe County,Mike Parson,R,3472,True
Missouri,Monroe County,Nicole Galloway,D,900,False
Missouri,Montgomery County,Mike Parson,R,4416,True
Missouri,Montgomery County,Nicole Galloway,D,1239,False
Missouri,Morgan County,Mike Parson,R,7372,True
Missouri,Morgan County,Nicole Galloway,D,1880,False
Missouri,New Madrid County,Mike Parson,R,5338,True
Missouri,New Madrid County,Nicole Galloway,D,1723,False
Missouri,Newton County,Mike Parson,R,22031,True
Missouri,Newton County,Nicole Galloway,D,5692,False
Missouri,Nodaway County,Mike Parson,R,6900,True
Missouri,Nodaway County,Nicole Galloway,D,2759,False
Missouri,Oregon County,Mike Parson,R,3770,True
Missouri,Oregon County,Nicole Galloway,D,840,False
Missouri,Osage County,Mike Parson,R,6512,True
Missouri,Osage County,Nicole Galloway,D,927,False
Missouri,Ozark County,Mike Parson,R,3963,True
Missouri,Ozark County,Nicole Galloway,D,769,False
Missouri,Pemiscot County,Mike Parson,R,4030,True
Missouri,Pemiscot County,Nicole Galloway,D,1490,False
Missouri,Perry County,Mike Parson,R,7595,True
Missouri,Perry County,Nicole Galloway,D,1630,False
Missouri,Pettis County,Mike Parson,R,13645,True
Missouri,Pettis County,Nicole Galloway,D,4876,False
Missouri,Phelps County,Mike Parson,R,13408,True
Missouri,Phelps County,Nicole Galloway,D,5621,False
Missouri,Pike County,Mike Parson,R,5727,True
Missouri,Pike County,Nicole Galloway,D,1810,False
Missouri,Platte County,Mike Parson,R,29616,True
Missouri,Platte County,Nicole Galloway,D,26293,False
Missouri,Polk County,Mike Parson,R,12319,True
Missouri,Polk County,Nicole Galloway,D,2475,False
Missouri,Pulaski County,Mike Parson,R,10261,True
Missouri,Pulaski County,Nicole Galloway,D,3599,False
Missouri,Putnam County,Mike Parson,R,1984,True
Missouri,Putnam County,Nicole Galloway,D,323,False
Missouri,Ralls County,Mike Parson,R,4351,True
Missouri,Ralls County,Nicole Galloway,D,1216,False
Missouri,Randolph County,Mike Parson,R,7842,True
Missouri,Randolph County,Nicole Galloway,D,2532,False
Missouri,Ray County,Mike Parson,R,7964,True
Missouri,Ray County,Nicole Galloway,D,3279,False
Missouri,Reynolds County,Mike Parson,R,2501,True
Missouri,Reynolds County,Nicole Galloway,D,633,False
Missouri,Ripley County,Mike Parson,R,4629,True
Missouri,Ripley County,Nicole Galloway,D,899,False
Missouri,St. Charles County,Mike Parson,R,128230,True
Missouri,St. Charles County,Nicole Galloway,D,87888,False
Missouri,St. Clair County,Mike Parson,R,3880,True
Missouri,St. Clair County,Nicole Galloway,D,995,False
Missouri,Ste. Genevieve County,Mike Parson,R,6180,True
Missouri,Ste. Genevieve County,Nicole Galloway,D,3011,False
Missouri,St. Francois County,Mike Parson,R,19258,True
Missouri,St. Francois County,Nicole Galloway,D,7682,False
Missouri,St. Louis County,Nicole Galloway,D,317327,True
Missouri,St. Louis County,Mike Parson,R,207535,False
Missouri,Saline County,Mike Parson,R,6443,True
Missouri,Saline County,Nicole Galloway,D,2832,False
Missouri,Schuyler County,Mike Parson,R,1577,True
Missouri,Schuyler County,Nicole Galloway,D,360,False
Missouri,Scotland County,Mike Parson,R,1584,True
Missouri,Scotland County,Nicole Galloway,D,342,False
Missouri,Scott County,Mike Parson,R,13535,True
Missouri,Scott County,Nicole Galloway,D,3794,False
Missouri,Shannon County,Mike Parson,R,3013,True
Missouri,Shannon County,Nicole Galloway,D,758,False
Missouri,Shelby County,Mike Parson,R,2698,True
Missouri,Shelby County,Nicole Galloway,D,576,False
Missouri,Stoddard County,Mike Parson,R,11269,True
Missouri,Stoddard County,Nicole Galloway,D,1855,False
Missouri,Stone County,Mike Parson,R,14704,True
Missouri,Stone County,Nicole Galloway,D,3399,False
Missouri,Sullivan County,Mike Parson,R,1985,True
Missouri,Sullivan County,Nicole Galloway,D,441,False
Missouri,Taney County,Mike Parson,R,20221,True
Missouri,Taney County,Nicole Galloway,D,5323,False
Missouri,Texas County,Mike Parson,R,9239,True
Missouri,Texas County,Nicole Galloway,D,1795,False
Missouri,Vernon County,Mike Parson,R,7022,True
Missouri,Vernon County,Nicole Galloway,D,1889,False
Missouri,Warren County,Mike Parson,R,12892,True
Missouri,Warren County,Nicole Galloway,D,4920,False
Missouri,Washington County,Mike Parson,R,7442,True
Missouri,Washington County,Nicole Galloway,D,2121,False
Missouri,Wayne County,Mike Parson,R,4801,True
Missouri,Wayne County,Nicole Galloway,D,900,False
Missouri,Webster County,Mike Parson,R,14715,True
Missouri,Webster County,Nicole Galloway,D,3577,False
Missouri,Worth County,Mike Parson,R,869,True
Missouri,Worth County,Nicole Galloway,D,205,False
Missouri,Wright County,Mike Parson,R,7343,True
Missouri,Wright County,Nicole Galloway,D,1181,False
Missouri,St. Louis city,Nicole Galloway,D,107296,True
Missouri,St. Louis city,Mike Parson,R,23380,False
Montana,Beaverhead County,Greg Gianforte,R,3779,True
Montana,Beaverhead County,Mike Cooney,D,1668,False
Montana,Big Horn County,Mike Cooney,D,2513,True
Montana,Big Horn County,Greg Gianforte,R,2078,False
Montana,Blaine County,Mike Cooney,D,1619,True
Montana,Blaine County,Greg Gianforte,R,1365,False
Montana,Broadwater County,Greg Gianforte,R,3032,True
Montana,Broadwater County,Mike Cooney,D,928,False
Montana,Carbon County,Greg Gianforte,R,4303,True
Montana,Carbon County,Mike Cooney,D,2498,False
Montana,Carter County,Greg Gianforte,R,748,True
Montana,Carter County,Mike Cooney,D,91,False
Montana,Cascade County,Greg Gianforte,R,22221,True
Montana,Cascade County,Mike Cooney,D,15922,False
Montana,Chouteau County,Greg Gianforte,R,1816,True
Montana,Chouteau County,Mike Cooney,D,1048,False
Montana,Custer County,Greg Gianforte,R,3971,True
Montana,Custer County,Mike Cooney,D,1619,False
Montana,Daniels County,Greg Gianforte,R,768,True
Montana,Daniels County,Mike Cooney,D,217,False
Montana,Dawson County,Greg Gianforte,R,3524,True
Montana,Dawson County,Mike Cooney,D,1124,False
Montana,Deer Lodge County,Mike Cooney,D,2747,True
Montana,Deer Lodge County,Greg Gianforte,R,1881,False
Montana,Fallon County,Greg Gianforte,R,1288,True
Montana,Fallon County,Mike Cooney,D,218,False
Montana,Fergus County,Greg Gianforte,R,4737,True
Montana,Fergus County,Mike Cooney,D,1567,False
Montana,Flathead County,Greg Gianforte,R,37213,True
Montana,Flathead County,Mike Cooney,D,20387,False
Montana,Gallatin County,Mike Cooney,D,36788,True
Montana,Gallatin County,Greg Gianforte,R,31368,False
Montana,Garfield County,Greg Gianforte,R,751,True
Montana,Garfield County,Mike Cooney,D,48,False
Montana,Glacier County,Mike Cooney,D,3730,True
Montana,Glacier County,Greg Gianforte,R,1709,False
Montana,Golden Valley County,Greg Gianforte,R,409,True
Montana,Golden Valley County,Mike Cooney,D,80,False
Montana,Granite County,Greg Gianforte,R,1348,True
Montana,Granite County,Mike Cooney,D,659,False
Montana,Hill County,Greg Gianforte,R,3642,True
Montana,Hill County,Mike Cooney,D,3146,False
Montana,Jefferson County,Greg Gianforte,R,5097,True
Montana,Jefferson County,Mike Cooney,D,2791,False
Montana,Judith Basin County,Greg Gianforte,R,1017,True
Montana,Judith Basin County,Mike Cooney,D,281,False
Montana,Lake County,Greg Gianforte,R,8913,True
Montana,Lake County,Mike Cooney,D,6885,False
Montana,Lewis and Clark County,Mike Cooney,D,21022,True
Montana,Lewis and Clark County,Greg Gianforte,R,19969,False
Montana,Liberty County,Greg Gianforte,R,788,True
Montana,Liberty County,Mike Cooney,D,268,False
Montana,Lincoln County,Greg Gianforte,R,8279,True
Montana,Lincoln County,Mike Cooney,D,3001,False
Montana,McCone County,Greg Gianforte,R,921,True
Montana,McCone County,Mike Cooney,D,165,False
Montana,Madison County,Greg Gianforte,R,3992,True
Montana,Madison County,Mike Cooney,D,1877,False
Montana,Meagher County,Greg Gianforte,R,823,True
Montana,Meagher County,Mike Cooney,D,256,False
